ENTIDAD,MUNICIPIO,PARTIDO,PRESIDENTE_MUNICIPAL,PERIODO_FORMATO_ORIGINAL,Year
AGUASCALIENTES,TEPEZALA,PAN,JOSE DE JESUS DELGADO DURON,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,TEPEZALA,PRI,HECTOR RAMIREZ PASILLAS,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,TEPEZALA,PRI,PEDRO SANTILLAN NIETO,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,TEPEZALA,PRI,RAUL RUIZ DONDIEGO,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,TEPEZALA,PVEM,LETICIA OLIVARES  JIMENEZ,del 15-Oct-2021 al 14-Oct-2024,2022
AGUASCALIENTES,TEPEZALA,PVEM,OMAR ISRAEL CAMARILLO,del 01-Ene-2017 al 14-Oct-2019,2017
AGUASCALIENTES,TEPEZALA,PVEM,OMAR ISRAEL CAMARILLO,del 15-Oct-2019 al 14-Oct-2021,2020
BAJA CALIFORNIA,ENSENADA,AXB,PABLO ALEJO LOPEZ NUÑEZ,del 01-Dic-2007 al 30-Nov-2010,2008
BAJA CALIFORNIA,ENSENADA,COAL,ARMANDO AYALA ROBLES,del 01-Oct-2021 al 30-Sep-2024,2021
BAJA CALIFORNIA,ENSENADA,COAL,MARCO ANTONIO NOVELO OZUNA,del 01-Dic-2016 al 30-Sep-2019,2017
BAJA CALIFORNIA,ENSENADA,COALICIoN,JORGE ANTONIO CATALAN SOSA,del 01-Dic-2001 al 30-Nov-2004,2002
BAJA CALIFORNIA,ENSENADA,MORENA,ARMANDO AYALA ROBLES,del 01-Oct-2019 al 30-Sep-2021,2020
BAJA CALIFORNIA,ENSENADA,PAN,CESAR MANCILLAS AMADOR,del 01-Dic-2004 al 30-Nov-2007,2005
BAJA CALIFORNIA,ENSENADA,PAN,OSCAR SANCHEZ DEL PALACIO,del 01-Dic-1992 al 30-Nov-1995,1992
BAJA CALIFORNIA,ENSENADA,PRI,DANIEL QUINTERO PEÑA,del 01-Dic-1998 al 30-Nov-2001,1999
BAJA CALIFORNIA,ENSENADA,PRI,GILBERTO ANTONIO HIRATA CHICO,del 01-Dic-2013 al 30-Nov-2016,2014
BAJA CALIFORNIA,ENSENADA,PRI,MANUEL MONTENEGRO ESPINOZA,de 1995 a 1998,1996
BAJA CALIFORNIA,ENSENADA,XGR,ENRIQUE PELAYO TORRES,del 01-Dic-2010 al 30-Nov-2013,2011
